-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2250,2202,2154,2106,2058,2010,1968,1926,1884,1842,1800,1788,1776,1764,1752,1740,1726,1712,1698,1684,1670,1656,1642,1628,1614,1600,1587,1574,1561,1548,1535,1519,1503,1487,1471,1455,1444,1433,1422,1411,1400
2219,2171,2124,2077,2029,1982,1940,1899,1858,1817,1775,1763,1751,1740,1728,1716,1702,1688,1674,1660,1647,1633,1619,1605,1591,1577,1564,1551,1538,1524,1511,1496,1480,1465,1449,1434,1423,1412,1401,1390,1379
2188,2141,2094,2047,2000,1953,1913,1872,1831,1791,1750,1739,1727,1715,1703,1692,1678,1664,1651,1637,1623,1609,1596,1582,1568,1554,1541,1528,1514,1501,1488,1473,1458,1443,1428,1413,1401,1390,1379,1368,1357
2156,2110,2064,2018,1971,1925,1885,1845,1805,1765,1725,1714,1702,1691,1679,1667,1654,1640,1627,1613,1600,1586,1572,1559,1545,1531,1518,1504,1491,1477,1464,1449,1435,1420,1406,1391,1380,1369,1358,1347,1335
2125,2079,2034,1988,1942,1897,1857,1818,1779,1739,1700,1689,1677,1666,1655,1643,1630,1617,1603,1590,1577,1563,1549,1536,1522,1508,1495,1481,1467,1454,1440,1426,1412,1398,1384,1370,1359,1347,1336,1325,1314
2094,2049,2004,1959,1913,1868,1830,1791,1752,1714,1675,1664,1653,1642,1630,1619,1606,1593,1580,1566,1553,1540,1526,1513,1499,1485,1472,1458,1444,1430,1416,1403,1389,1376,1362,1349,1337,1326,1315,1303,1292
2063,2018,1974,1929,1885,1840,1802,1764,1726,1688,1650,1639,1628,1617,1606,1595,1582,1569,1556,1543,1530,1516,1503,1489,1476,1463,1449,1435,1421,1407,1393,1380,1367,1354,1341,1328,1316,1305,1293,1282,1270
2031,1987,1943,1900,1856,1812,1774,1737,1700,1662,1625,1614,1603,1593,1582,1571,1558,1545,1532,1519,1506,1493,1480,1466,1453,1440,1425,1411,1397,1383,1369,1356,1344,1331,1319,1306,1295,1283,1272,1260,1249
2000,1957,1913,1870,1827,1783,1747,1710,1673,1637,1600,1589,1579,1568,1557,1547,1534,1521,1508,1496,1483,1470,1456,1443,1430,1417,1402,1388,1374,1359,1345,1333,1321,1309,1297,1285,1273,1262,1250,1238,1227
1969,1926,1883,1841,1798,1755,1719,1683,1647,1611,1575,1565,1554,1544,1533,1523,1510,1497,1485,1472,1460,1446,1433,1420,1407,1394,1379,1365,1350,1336,1321,1310,1298,1287,1275,1264,1252,1240,1229,1217,1205
1938,1895,1853,1811,1769,1727,1691,1656,1621,1585,1550,1540,1529,1519,1509,1498,1486,1474,1461,1449,1436,1423,1410,1397,1384,1371,1356,1342,1327,1312,1298,1287,1276,1265,1254,1243,1231,1219,1207,1195,1183
