,Pressure Height FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAT Degrees Celcius,,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,10000,2020,2028,2036,2044,2052,2060,2070,2080,2090,2100,2110,2116,2122,2128,2134,2140,2150,2160,2170,2180,2190,2196,2202,2208,2214,2220,2231,2242,2253,2264,2275,2280,2285,2290,2295,2300,2308,2316,2324,2332,2340,2349,2358,2367,2376,2385,2392,2399,2406,2413,2420,2426,2432,2438,2444,2450,2460,2470,2480,2490,2500
,9800,2005.5,2013.4,2021.3,2029.2,2037.1,2045,2054.8,2064.6,2074.4,2084.2,2094,2100.2,2106.4,2112.6,2118.8,2125,2134.6,2144.2,2153.8,2163.4,2173,2179.2,2185.4,2191.6,2197.8,2204,2214.7,2225.4,2236.1,2246.8,2257.5,2262.6,2267.7,2272.8,2277.9,2283,2291.1,2299.2,2307.3,2315.4,2323.5,2332.1,2340.7,2349.3,2357.9,2366.5,2373.8,2381.1,2388.4,2395.7,2403,2409.2,2415.4,2421.6,2427.8,2434,2443.6,2453.2,2462.8,2472.4,2482
,9600,1991,1998.8,2006.6,2014.4,2022.2,2030,2039.6,2049.2,2058.8,2068.4,2078,2084.4,2090.8,2097.2,2103.6,2110,2119.2,2128.4,2137.6,2146.8,2156,2162.4,2168.8,2175.2,2181.6,2188,2198.4,2208.8,2219.2,2229.6,2240,2245.2,2250.4,2255.6,2260.8,2266,2274.2,2282.4,2290.6,2298.8,2307,2315.2,2323.4,2331.6,2339.8,2348,2355.6,2363.2,2370.8,2378.4,2386,2392.4,2398.8,2405.2,2411.6,2418,2427.2,2436.4,2445.6,2454.8,2464
,9400,1976.5,1984.2,1991.9,1999.6,2007.3,2015,2024.4,2033.8,2043.2,2052.6,2062,2068.6,2075.2,2081.8,2088.4,2095,2103.8,2112.6,2121.4,2130.2,2139,2145.6,2152.2,2158.8,2165.4,2172,2182.1,2192.2,2202.3,2212.4,2222.5,2227.8,2233.1,2238.4,2243.7,2249,2257.3,2265.6,2273.9,2282.2,2290.5,2298.3,2306.1,2313.9,2321.7,2329.5,2337.4,2345.3,2353.2,2361.1,2369,2375.6,2382.2,2388.8,2395.4,2402,2410.8,2419.6,2428.4,2437.2,2446
,9200,1962,1969.6,1977.2,1984.8,1992.4,2000,2009.2,2018.4,2027.6,2036.8,2046,2052.8,2059.6,2066.4,2073.2,2080,2088.4,2096.8,2105.2,2113.6,2122,2128.8,2135.6,2142.4,2149.2,2156,2165.8,2175.6,2185.4,2195.2,2205,2210.4,2215.8,2221.2,2226.6,2232,2240.4,2248.8,2257.2,2265.6,2274,2281.4,2288.8,2296.2,2303.6,2311,2319.2,2327.4,2335.6,2343.8,2352,2358.8,2365.6,2372.4,2379.2,2386,2394.4,2402.8,2411.2,2419.6,2428
,9000,1947.5,1955,1962.5,1970,1977.5,1985,1994,2003,2012,2021,2030,2037,2044,2051,2058,2065,2073,2081,2089,2097,2105,2112,2119,2126,2133,2140,2149.5,2159,2168.5,2178,2187.5,2193,2198.5,2204,2209.5,2215,2223.5,2232,2240.5,2249,2257.5,2264.5,2271.5,2278.5,2285.5,2292.5,2301,2309.5,2318,2326.5,2335,2342,2349,2356,2363,2370,2378,2386,2394,2402,2410
,8800,1933,1940.4,1947.8,1955.2,1962.6,1970,1978.8,1987.6,1996.4,2005.2,2014,2021.2,2028.4,2035.6,2042.8,2050,2057.6,2065.2,2072.8,2080.4,2088,2095.2,2102.4,2109.6,2116.8,2124,2133.2,2142.4,2151.6,2160.8,2170,2175.6,2181.2,2186.8,2192.4,2198,2206.6,2215.2,2223.8,2232.4,2241,2247.6,2254.2,2260.8,2267.4,2274,2282.8,2291.6,2300.4,2309.2,2318,2325.2,2332.4,2339.6,2346.8,2354,2361.6,2369.2,2376.8,2384.4,2392
,8600,1918.5,1925.8,1933.1,1940.4,1947.7,1955,1963.6,1972.2,1980.8,1989.4,1998,2005.4,2012.8,2020.2,2027.6,2035,2042.2,2049.4,2056.6,2063.8,2071,2078.4,2085.8,2093.2,2100.6,2108,2116.9,2125.8,2134.7,2143.6,2152.5,2158.2,2163.9,2169.6,2175.3,2181,2189.7,2198.4,2207.1,2215.8,2224.5,2230.7,2236.9,2243.1,2249.3,2255.5,2264.6,2273.7,2282.8,2291.9,2301,2308.4,2315.8,2323.2,2330.6,2338,2345.2,2352.4,2359.6,2366.8,2374
,8400,1904,1911.2,1918.4,1925.6,1932.8,1940,1948.4,1956.8,1965.2,1973.6,1982,1989.6,1997.2,2004.8,2012.4,2020,2026.8,2033.6,2040.4,2047.2,2054,2061.6,2069.2,2076.8,2084.4,2092,2100.6,2109.2,2117.8,2126.4,2135,2140.8,2146.6,2152.4,2158.2,2164,2172.8,2181.6,2190.4,2199.2,2208,2213.8,2219.6,2225.4,2231.2,2237,2246.4,2255.8,2265.2,2274.6,2284,2291.6,2299.2,2306.8,2314.4,2322,2328.8,2335.6,2342.4,2349.2,2356
